,tract,year,prediction_lr,prediction_rf
6106,710700,2017,0,0
3887,381400,2017,0,0
5827,681000,2017,0,0
5398,630400,2017,0,0
1224,081600,2017,0,0
1622,150600,2017,0,0
629,050700,2017,0,0
206,020901,2017,0,0
887,061800,2017,0,0
2701,842300,2017,0,0
3890,381900,2017,0,0
1831,170500,2017,0,0
4920,560100,2017,0,0
1252,090200,2017,0,0
5089,840300,2017,0,0
4095,411200,2017,0,0
2446,230800,2017,0,0
5832,834600,2017,0,0
884,061100,2017,0,0
3481,301200,2017,0,0
2874,250600,2017,0,0
895,062500,2017,0,0
3579,841300,2017,0,0
4294,430300,2017,0,0
886,061500,2017,0,0
2315,220902,2017,0,0
3487,301803,2017,0,0
3339,838600,2017,0,0
1312,100300,2017,0,0
3681,340400,2017,0,0
6112,711300,2017,0,0
878,060300,2017,0,0
524,040900,2017,0,0
5834,834800,2017,0,0
3488,830500,2017,0,0
1985,191100,2017,0,0
4928,561100,2017,0,0
2879,251200,2017,0,0
1977,190402,2017,0,0
5306,843800,2017,0,0
637,843700,2017,1,0
6230,730300,2017,0,0
199,020500,2017,0,0
4295,430400,2017,0,0
1314,100500,2017,0,0
3340,838700,2017,1,0
3486,301802,2017,0,0
1217,081201,2017,0,0
5922,690900,2017,0,0
5591,660900,2017,0,0
2441,230300,2017,0,0
4923,560400,2017,0,0
1510,140302,2017,0,0
2033,200200,2017,0,0
3950,390400,2017,0,0
3061,271400,2017,0,0
1629,831700,2017,0,0
5041,580100,2017,0,0
5746,834900,2017,0,0
6170,720700,2017,0,0
5337,620300,2017,0,0
4177,420300,2017,0,0
3573,310500,2017,0,0
4175,420100,2017,0,0
2443,230500,2017,0,0
4381,440600,2017,0,0
3747,351400,2017,0,0
896,062600,2017,0,0
5587,660500,2017,0,0
5925,691200,2017,0,0
2698,243300,2017,0,0
427,031100,2017,0,0
326,030102,2017,0,0
2967,260400,2017,0,0
4529,480500,2017,0,0
2321,221500,2017,0,0
523,040800,2017,0,0
900,063000,2017,1,0
428,031200,2017,0,0
3337,292400,2017,1,0
86,010202,2017,0,0
4292,430102,2017,1,0
3953,390700,2017,0,0
3064,836800,2017,0,0
1428,130300,2017,0,0
3210,280100,2017,0,0
1511,140400,2017,0,0
903,063301,2017,0,0
879,060400,2017,1,0
4630,490500,2017,0,0
4476,460400,2017,0,0
2672,240300,2017,0,0
4377,440102,2017,0,0
5045,580501,2017,0,0
2881,251400,2017,0,0
5738,671200,2017,0,0
1054,070300,2017,0,0
4000,834500,2017,1,0
5294,611100,2017,0,0
3335,291200,2017,1,0
6110,711100,2017,0,0
1745,160900,2017,0,0
3619,839000,2017,0,0
3221,833000,2017,0,0
4296,430500,2017,1,0
4803,530100,2017,1,0
6103,710400,2017,0,0
2685,242000,2017,0,0
3225,838000,2017,1,0
3752,842000,2017,0,0
2678,241000,2017,0,0
4921,560200,2017,0,0
889,061902,2017,0,0
3750,839500,2017,0,0
5293,611000,2017,1,0
2330,831000,2017,0,0
6263,740100,2017,0,0
3348,291600,2017,0,0
3885,380700,2017,0,0
5584,660301,2017,0,0
3485,301801,2017,0,0
332,030500,2017,0,0
4480,461000,2017,0,0
633,051100,2017,0,0
901,063100,2017,0,0
2313,220702,2017,0,0
6234,730700,2017,0,0
2875,250700,2017,0,0
2036,200402,2017,0,0
2965,260200,2017,0,0
2693,242800,2017,0,0
4922,560300,2017,0,0
3893,835900,2017,0,0
429,031300,2017,0,0
5303,612000,2017,0,0
5926,691300,2017,0,0
1313,100400,2017,0,0
2112,210601,2017,0,0
3484,301702,2017,0,0
898,062800,2017,0,0
2320,221400,2017,0,0
1618,150401,2017,0,0
625,050200,2017,0,0
1065,071600,2017,0,0
2697,243200,2017,0,0
1362,110300,2017,0,0
5401,630900,2017,0,0
5086,590500,2017,0,0
92,010600,2017,0,0
3997,400400,2017,0,0
3347,843400,2017,0,0
3063,271800,2017,0,0
2889,252102,2017,0,0
1066,071700,2017,0,0
3222,833100,2017,0,0
1832,170600,2017,0,0
3785,836500,2017,0,0
341,030900,2017,1,0
2969,260600,2017,0,0
5400,630800,2017,0,0
2886,251900,2017,0,0
1835,170900,2017,0,0
2452,836700,2017,0,0
87,010300,2017,0,0
4489,470100,2017,0,0
4481,833900,2017,0,0
5989,700301,2017,0,0
5050,842800,2017,0,0
1739,160501,2017,0,0
5502,650200,2017,0,0
6101,710200,2017,0,0
4293,430200,2017,0,0
1053,070200,2017,0,0
1976,190401,2017,1,0
3644,841000,2017,0,0
198,020400,2017,0,0
4665,500300,2017,0,0
6357,770902,2017,0,0
3897,381700,2017,1,0
1834,170800,2017,1,0
6314,750600,2017,0,0
6313,750500,2017,0,0
3489,840700,2017,0,0
3642,330100,2017,0,0
1361,110200,2017,1,0
5731,670400,2017,0,0
5336,620200,2017,0,0
2882,251500,2017,0,0
1833,170700,2017,0,0
1981,190702,2017,0,0
2687,242200,2017,0,0
4631,490600,2017,1,0
1061,071200,2017,0,0
1852,180100,2017,0,0
5169,840100,2017,0,0
4184,834400,2017,0,0
2329,830900,2017,0,0
4632,490700,2017,0,0
94,010702,2017,0,0
880,060500,2017,0,0
1974,190200,2017,0,0
2327,222800,2017,0,0
1226,081800,2017,0,0
3478,300800,2017,0,0
5833,834700,2017,0,0
1744,160800,2017,0,0
4179,420500,2017,0,0
3065,836900,2017,1,0
6167,720400,2017,0,0
1364,110501,2017,0,0
4930,980100,2017,0,0
2325,222600,2017,0,0
3218,283200,2017,0,0
909,832100,2017,0,0
2322,221600,2017,1,0
5923,691000,2017,0,0
5049,580800,2017,0,0
5503,650301,2017,0,0
2972,260900,2017,0,0
3784,836400,2017,0,0
4383,440800,2017,0,0
1360,110100,2017,0,0
4740,520100,2017,0,0
1620,150501,2017,0,0
5301,611800,2017,0,0
891,062100,2017,0,0
4298,430700,2017,0,0
6227,730100,2017,1,0
4385,842400,2017,0,0
1621,150502,2017,0,0
882,060900,2017,0,0
5920,690400,2017,1,0
522,040700,2017,0,0
3224,837800,2017,0,0
5735,670800,2017,0,0
5087,590600,2017,0,0
904,063302,2017,0,0
5745,672000,2017,0,0
1426,130100,2017,0,0
2324,222500,2017,0,0
1616,150200,2017,0,0
3748,351500,2017,0,0
2887,252000,2017,0,0
2679,241100,2017,0,0
5042,580200,2017,0,0
5506,650500,2017,1,0
1427,130200,2017,0,0
624,050100,2017,0,0
5740,671400,2017,0,0
521,040600,2017,0,0
3059,271200,2017,0,0
4185,843900,2017,0,0
1429,831800,2017,0,0
204,020801,2017,1,0
1052,070103,2017,0,0
5088,590700,2017,0,0
4300,430900,2017,1,0
6353,760801,2017,0,0
5302,611900,2017,0,0
4401,834300,2017,1,0
4926,560900,2017,0,0
197,020302,2017,0,0
2682,241400,2017,0,0
1062,071300,2017,0,0
2317,221100,2017,0,0
1740,160502,2017,0,0
5929,841800,2017,0,0
4379,440202,2017,0,0
1050,070101,2017,0,0
6104,710500,2017,0,0
2680,241200,2017,0,0
4841,550100,2017,1,0
1983,190900,2017,0,0
3227,838200,2017,0,0
1837,171100,2017,0,0
4305,834200,2017,0,0
1742,160602,2017,0,0
3751,839600,2017,0,0
436,032100,2017,0,0
4378,440201,2017,1,0
1396,120300,2017,0,0
2326,222700,2017,0,0
518,040300,2017,0,0
1516,140702,2017,0,0
4090,410700,2017,0,0
2973,261000,2017,0,0
1626,151002,2017,0,0
2114,210700,2017,1,0
4809,530503,2017,1,0
3220,832900,2017,0,0
