,Unnamed: 0,up_to_middle,not_highschool_grad,high_school_grad,some_college,associate,bachelor,graduate,year,tract,county,pop_over_25
0,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2010,251600.0,31.0,2015.0
1,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2011,251600.0,31.0,2015.0
2,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2012,251600.0,31.0,2015.0
3,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2013,251600.0,31.0,2015.0
4,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2014,251600.0,31.0,2015.0
5,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2015,251600.0,31.0,2015.0
6,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2016,251600.0,31.0,2015.0
7,0.0,0.10570719602977667,0.2823821339950372,0.3235732009925558,0.198014888337469,0.044665012406947896,0.029280397022332507,0.01637717121588089,2017,251600.0,31.0,2015.0
8,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2010,251700.0,31.0,914.0
9,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2011,251700.0,31.0,914.0
10,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2012,251700.0,31.0,914.0
11,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2013,251700.0,31.0,914.0
12,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2014,251700.0,31.0,914.0
13,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2015,251700.0,31.0,914.0
14,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2016,251700.0,31.0,914.0
15,1.0,0.0700218818380744,0.2527352297592998,0.33260393873085337,0.09846827133479212,0.03829321663019693,0.1225382932166302,0.08533916849015317,2017,251700.0,31.0,914.0
16,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2010,251800.0,31.0,2957.0
17,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2011,251800.0,31.0,2957.0
18,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2012,251800.0,31.0,2957.0
19,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2013,251800.0,31.0,2957.0
20,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2014,251800.0,31.0,2957.0
21,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2015,251800.0,31.0,2957.0
22,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2016,251800.0,31.0,2957.0
23,2.0,0.06865065945214746,0.22049374365911395,0.3977003719986473,0.17078119715928305,0.08048698004734528,0.04937436591139669,0.012512681772066284,2017,251800.0,31.0,2957.0
24,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2010,251900.0,31.0,3185.0
25,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2011,251900.0,31.0,3185.0
26,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2012,251900.0,31.0,3185.0
27,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2013,251900.0,31.0,3185.0
28,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2014,251900.0,31.0,3185.0
29,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2015,251900.0,31.0,3185.0
30,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2016,251900.0,31.0,3185.0
31,3.0,0.08728414442700158,0.21789638932496075,0.4028257456828885,0.17613814756671897,0.03547880690737834,0.05368916797488226,0.026687598116169543,2017,251900.0,31.0,3185.0
