"filing_year","tract","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,"17031411200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"17031420100",8,1.070,0,0,8,1,7,2891,1,1,2,3,1,0,8,6,2,0,2,4,4,3,3,1,1,0,0,1,1,2,0,6,2,0,4,0,0,2,1,7,1,5,0,2
2010,"17031420200",29,5.890,1,1,27,8,19,3038,8,3,5,5,6,2,25,25,2,0,2,13,14,11,14,2,0,0,0,2,0,9,0,18,8,0,17,1,0,1,3,24,3,22,0,2
2010,"17031420300",34,7.560,0,0,34,0,34,1346.030,0,15,14,3,2,1,33,32,2,2,0,24,10,22,10,2,0,2,0,0,0,12,5,17,12,5,15,0,0,2,8,26,7,25,1,1
2010,"17031420400",27,4.010,0,0,27,2,25,912,2,15,8,2,0,0,27,27,0,0,0,22,5,22,5,0,0,0,0,0,0,19,1,7,19,1,7,0,0,0,6,21,6,21,0,0
2010,"17031420500",61,4.890,0,0,61,9,52,1753.940,9,11,26,12,3,18,43,53,8,5,3,35,26,34,19,1,7,1,4,0,3,19,8,34,19,8,26,0,0,8,8,53,8,45,0,8
2010,"17031420600",41,5.470,10,0,31,9,22,1313.750,9,3,13,4,2,6,25,30,1,1,0,18,13,18,12,0,1,0,1,0,0,10,1,20,10,1,19,0,0,1,2,29,2,28,0,1
2010,"17031420700",73,6.970,5,0,68,19,49,1750,17,10,26,12,3,34,34,62,6,4,2,45,23,44,18,1,5,1,3,0,2,28,8,32,28,8,26,0,0,6,10,58,10,52,0,6
2010,"17031420800",44,6.230,1,0,43,7,36,1675,7,11,12,12,1,21,22,40,3,3,0,25,18,23,17,2,1,2,1,0,0,15,2,26,15,2,23,0,0,3,3,40,3,37,0,3
2010,"17031421200",26,5.570,6,0,20,6,14,1992.890,6,3,7,3,1,9,11,19,1,0,1,11,9,11,8,0,1,0,0,0,1,6,1,13,6,1,12,0,0,1,3,17,3,16,0,1
2010,"17031430101",144,8.160,2,3,139,20,119,2177,20,15,57,31,16,17,122,124,15,8,7,96,43,92,32,4,11,4,4,0,7,71,6,62,70,5,49,1,1,13,30,109,29,95,1,14
2010,"17031430102",133,7.630,1,0,132,7,125,1174.350,7,53,48,18,6,4,128,119,13,9,4,82,50,74,45,8,5,7,2,1,3,54,19,59,53,19,47,1,0,12,18,114,18,101,0,13
2010,"17031430200",154,6.730,2,2,150,46,104,1859.500,46,30,42,28,4,13,137,135,15,12,3,95,55,87,48,8,7,6,6,2,1,65,13,72,61,13,61,4,0,11,18,132,17,118,1,14
2010,"17031430300",73,8.850,5,0,68,14,54,2373.960,14,14,16,20,4,21,47,57,11,9,2,43,25,36,21,7,4,6,3,1,1,26,6,36,25,5,27,1,1,9,8,60,8,49,0,11
2010,"17031430400",45,6.340,2,0,43,8,35,2250,8,5,16,13,1,21,22,35,8,8,0,33,10,30,5,3,5,3,5,0,0,17,0,26,17,0,18,0,0,8,10,33,9,26,1,7
2010,"17031430500",140,6.570,3,1,136,31,105,1530,29,35,45,24,3,18,118,127,9,6,3,94,42,88,39,6,3,5,1,1,2,70,11,55,69,11,47,1,0,8,19,117,19,108,0,9
2010,"17031430600",30,5.780,2,0,28,10,18,1871.270,10,7,5,4,2,3,25,26,2,1,1,20,8,20,6,0,2,0,1,0,1,14,3,11,14,3,9,0,0,2,5,23,5,21,0,2
2010,"17031430700",100,9.600,0,1,99,9,90,1964.640,9,10,50,21,9,7,92,90,9,7,2,79,20,73,17,6,3,6,1,0,2,65,8,26,64,8,18,1,0,8,26,73,26,64,0,9
2010,"17031430800",38,7.710,1,0,37,10,27,1545,10,7,10,8,2,7,30,31,6,4,2,30,7,26,5,4,2,3,1,1,1,21,1,15,20,1,10,1,0,5,3,34,3,28,0,6
2010,"17031430900",48,8.920,3,0,45,13,32,1994.500,13,3,22,5,2,10,35,45,0,0,0,30,15,30,15,0,0,0,0,0,0,23,3,19,23,3,19,0,0,0,9,36,9,36,0,0
2010,"17031431200",27,5.790,1,0,26,4,22,1825,4,7,9,4,2,9,17,22,4,4,0,18,8,16,6,2,2,2,2,0,0,9,3,14,9,3,10,0,0,4,5,21,5,17,0,4
2010,"17031431301",140,8.340,4,0,136,19,117,1860,19,16,66,24,11,34,102,122,14,10,4,91,45,83,39,8,6,7,3,1,3,63,8,65,59,7,56,4,1,9,28,108,28,94,0,14
2010,"17031431302",148,8.710,7,0,141,32,109,2197,32,7,55,40,7,20,121,131,10,9,1,92,49,89,42,3,7,3,6,0,1,62,12,67,62,12,57,0,0,10,20,121,19,112,1,9
2010,"17031431400",300,9.120,9,1,290,37,253,2156.750,36,22,134,79,19,24,266,275,15,11,4,195,95,186,89,9,6,6,5,3,1,118,31,141,116,31,128,2,0,13,47,243,45,230,2,13
2010,"17031440101",172,9.370,5,0,167,64,103,1830,64,9,61,26,7,20,147,158,9,7,2,126,41,121,37,5,4,5,2,0,2,77,9,81,77,9,72,0,0,9,16,151,16,142,0,9
2010,"17031440102",147,8.180,10,1,136,36,100,1633,36,18,62,13,7,18,118,124,12,11,1,90,46,84,40,6,6,6,5,0,1,63,15,58,61,14,49,2,1,9,22,114,22,102,0,12
2010,"17031440201",107,4.710,1,1,105,25,80,1520.500,25,18,44,14,4,16,89,96,9,8,1,76,29,71,25,5,4,5,3,0,1,56,5,44,55,5,36,1,0,8,17,88,16,80,1,8
2010,"17031440202",39,3,1,1,37,6,31,1795,5,5,20,6,1,2,35,35,2,2,0,22,15,21,14,1,1,1,1,0,0,15,1,21,15,1,19,0,0,2,4,33,4,31,0,2
2010,"17031440300",46,4.440,0,1,45,8,37,2080,7,5,18,13,2,6,39,39,6,5,1,32,13,30,9,2,4,2,3,0,1,21,1,23,21,1,17,0,0,6,7,38,7,32,0,6
2010,"17031440600",14,14.430,2,0,12,6,6,3271.500,6,1,1,3,1,8,4,10,2,2,0,7,5,5,5,2,0,2,0,0,0,3,0,9,2,0,8,1,0,1,0,12,0,10,0,2
2010,"17031440700",8,3.880,0,0,8,3,5,3655,2,2,0,3,1,3,5,8,0,0,0,5,3,5,3,0,0,0,0,0,0,2,1,5,2,1,5,0,0,0,1,7,1,7,0,0
2010,"17031440800",36,5.120,0,1,35,10,25,1303,10,9,12,3,1,18,17,33,2,1,1,20,15,20,13,0,2,0,1,0,1,16,3,16,16,3,14,0,0,2,4,31,4,29,0,2
2010,"17031440900",32,6.940,2,0,30,3,27,2600,3,3,9,10,5,13,17,26,4,1,3,17,13,17,9,0,4,0,1,0,3,13,2,15,13,2,11,0,0,4,2,28,2,24,0,4
2010,"17031450300",35,6.800,6,1,28,8,20,2540,8,4,5,4,7,9,19,22,6,6,0,17,11,15,7,2,4,2,4,0,0,10,2,16,10,2,10,0,0,6,4,24,4,18,0,6
2010,"17031460100",80,7.250,5,1,74,25,49,1965.500,24,4,28,10,8,28,46,66,8,6,2,50,24,46,20,4,4,2,4,2,0,30,7,37,29,7,30,1,0,7,11,63,11,55,0,8
2010,"17031460200",46,8.550,2,0,44,16,28,1400,15,10,12,5,2,22,22,38,6,3,3,31,13,29,9,2,4,0,3,2,1,21,4,19,21,4,13,0,0,6,8,36,8,30,0,6
2010,"17031460301",43,5.780,5,0,38,19,19,1848.500,18,2,12,5,1,22,16,36,2,2,0,31,7,29,7,2,0,2,0,0,0,20,2,16,20,2,14,0,0,2,6,32,6,30,0,2
2010,"17031460302",68,6.420,4,0,64,13,51,2130,12,7,22,15,8,25,39,53,11,9,2,45,19,39,14,6,5,5,4,1,1,28,4,32,26,4,23,2,0,9,5,59,4,49,1,10
2010,"17031460400",55,8.200,5,0,50,10,40,1945,10,4,22,10,4,30,20,46,4,3,1,38,12,36,10,2,2,2,1,0,1,19,4,27,19,4,23,0,0,4,5,45,5,41,0,4
2010,"17031460500",60,5.950,4,0,56,21,35,2757.500,20,2,14,14,6,24,32,49,7,5,2,39,17,36,13,3,4,3,2,0,2,20,1,35,20,1,28,0,0,7,5,51,5,44,0,7
2010,"17031460600",16,5.160,0,0,16,2,14,1877.500,2,1,8,3,2,9,7,14,2,2,0,10,6,9,5,1,1,1,1,0,0,5,2,9,5,2,7,0,0,2,1,15,1,13,0,2
2010,"17031460700",61,6.250,2,0,59,7,52,1477.500,7,16,23,12,1,19,40,52,7,5,2,39,20,36,16,3,4,2,3,1,1,22,5,32,21,4,27,1,1,5,7,52,6,46,1,6
2010,"17031461000",18,3.020,1,1,16,6,10,977.500,6,5,3,2,0,2,14,15,1,0,1,13,3,13,2,0,1,0,0,0,1,9,0,7,9,0,6,0,0,1,1,15,1,14,0,1
2010,"17031470100",20,3.770,0,1,19,5,14,2159.500,5,2,7,3,2,11,8,17,2,2,0,9,10,8,9,1,1,1,1,0,0,7,4,8,7,4,6,0,0,2,1,18,1,16,0,2
2010,"17031480100",15,10.200,1,0,14,6,8,3078,6,2,0,5,1,5,9,11,3,3,0,11,3,10,1,1,2,1,2,0,0,6,1,7,6,1,4,0,0,3,5,9,4,7,1,2
2010,"17031480200",7,2.190,0,0,7,1,6,2162.500,1,0,4,1,1,3,4,6,1,0,1,3,4,3,3,0,1,0,0,0,1,2,0,5,2,0,4,0,0,1,1,6,1,5,0,1
2010,"17031480300",9,3.440,0,0,9,3,6,2237.500,3,0,3,1,2,4,5,7,2,2,0,8,1,7,0,1,1,1,1,0,0,5,0,4,5,0,2,0,0,2,0,9,0,7,0,2
2010,"17031480400",23,6.050,1,2,20,5,15,3000,5,1,5,4,5,11,9,17,3,3,0,10,10,8,9,2,1,2,1,0,0,6,4,10,5,4,8,1,0,2,3,17,3,14,0,3
2010,"17031480500",8,2.120,3,0,5,1,4,2612.500,1,1,1,1,1,3,2,4,1,1,0,3,2,2,2,1,0,1,0,0,0,1,2,2,1,2,1,0,0,1,0,5,0,4,0,1
2010,"17031490300",8,2.960,3,0,5,3,2,3760,2,0,1,1,1,2,3,4,1,1,0,3,2,3,1,0,1,0,1,0,0,1,0,4,1,0,3,0,0,1,0,5,0,4,0,1
2010,"17031490400",7,4.380,3,0,4,2,2,2105,2,1,0,1,0,2,2,3,1,0,1,2,2,2,1,0,1,0,0,0,1,2,0,2,2,0,1,0,0,1,1,3,1,2,0,1
2010,"17031490500",13,7.390,0,0,13,4,9,2500,4,2,2,2,3,8,5,10,3,3,0,6,7,5,5,1,2,1,2,0,0,4,1,8,4,1,5,0,0,3,1,12,1,9,0,3
2010,"17031490600",5,4.350,0,0,5,1,4,2530,1,0,2,2,0,2,3,4,1,0,1,1,4,1,3,0,1,0,0,0,1,1,1,3,1,1,2,0,0,1,0,5,0,4,0,1
2010,"17031490700",7,3.230,0,0,7,1,6,1768.750,1,2,2,2,0,6,1,3,4,4,0,2,5,2,1,0,4,0,4,0,0,1,0,6,1,0,2,0,0,4,2,5,2,1,0,4
2010,"17031490800",21,6.380,0,0,21,6,15,1830,6,5,4,4,2,9,12,16,5,3,2,14,7,11,5,3,2,2,1,1,1,10,1,10,9,1,6,1,0,4,2,19,2,14,0,5
2010,"17031490901",68,5.990,2,1,65,15,50,1739.500,13,9,30,9,4,28,37,56,9,5,4,39,26,35,21,4,5,4,1,0,4,26,3,36,24,3,29,2,0,7,6,59,6,50,0,9
2010,"17031490902",43,5.150,3,0,40,12,28,2105,12,4,12,5,7,21,19,34,6,5,1,22,18,17,17,5,1,5,0,0,1,13,4,23,12,4,18,1,0,5,2,38,2,32,0,6
2010,"17031491000",53,7.150,3,0,50,12,38,2772.500,12,1,17,15,5,29,21,49,1,1,0,36,14,36,13,0,1,0,1,0,0,27,5,18,27,5,17,0,0,1,7,43,7,42,0,1
2010,"17031491100",13,4.060,3,0,10,3,7,4154.440,3,2,1,1,3,3,7,8,2,0,2,4,6,4,4,0,2,0,0,0,2,2,1,7,2,1,5,0,0,2,1,9,1,7,0,2
2010,"17031491200",11,5.730,0,0,11,2,9,3200,2,2,0,5,2,3,8,10,1,0,1,5,6,5,5,0,1,0,0,0,1,2,3,6,2,3,5,0,0,1,1,10,1,9,0,1
2010,"17031491300",31,6.010,3,1,27,9,18,1700,9,2,10,5,1,17,10,27,0,0,0,12,15,12,15,0,0,0,0,0,0,8,2,17,8,2,17,0,0,0,4,23,4,23,0,0
2010,"17031491400",71,7.260,1,1,69,5,64,1587.500,5,19,32,10,3,39,30,64,5,5,0,48,21,45,19,3,2,3,2,0,0,36,6,27,36,6,22,0,0,5,17,52,17,47,0,5
2010,"17031500100",76,9.070,1,1,74,1,73,577.500,1,67,4,0,2,4,70,72,2,2,0,32,42,31,41,1,1,1,1,0,0,22,22,30,22,22,28,0,0,2,3,71,3,69,0,2
2010,"17031500200",37,9.340,2,0,35,7,28,1315,7,10,11,6,1,14,21,30,5,2,3,16,19,15,15,1,4,1,1,0,3,9,3,23,8,3,19,1,0,4,3,32,3,27,0,5
2010,"17031500300",14,3.070,0,0,14,2,12,2250,2,2,4,4,2,9,5,14,0,0,0,9,5,9,5,0,0,0,0,0,0,4,2,8,4,2,8,0,0,0,1,13,1,13,0,0
2010,"17031510100",15,5.380,1,0,14,7,7,1492.500,6,1,7,0,0,7,7,13,1,1,0,12,2,11,2,1,0,1,0,0,0,6,0,8,6,0,7,0,0,1,4,10,4,9,0,1
2010,"17031510200",16,4.520,1,1,14,1,13,2094,1,2,6,4,1,8,6,11,3,1,2,5,9,5,6,0,3,0,1,0,2,3,0,11,3,0,8,0,0,3,1,13,1,10,0,3
2010,"17031510300",28,4.260,4,0,24,9,15,1700,9,3,7,3,2,8,16,17,7,3,4,13,11,11,6,2,5,2,1,0,4,6,1,17,6,1,10,0,0,7,0,24,0,17,0,7
2010,"17031520100",5,1.620,0,0,5,1,4,3734.440,1,0,2,0,2,2,3,5,0,0,0,4,1,4,1,0,0,0,0,0,0,2,0,3,2,0,3,0,0,0,1,4,1,4,0,0
2010,"17031520200",22,2.950,0,0,22,4,18,1951,4,3,9,4,2,12,10,22,0,0,0,18,4,18,4,0,0,0,0,0,0,13,0,9,13,0,9,0,0,0,4,18,4,18,0,0
2010,"17031520300",6,1.170,0,0,6,2,4,2437.500,2,0,3,1,0,2,4,5,1,0,1,4,2,4,1,0,1,0,0,0,1,3,0,3,3,0,2,0,0,1,2,4,2,3,0,1
2010,"17031520400",11,2.820,2,0,9,5,4,2175,5,0,3,1,0,3,6,8,1,1,0,6,3,6,2,0,1,0,1,0,0,3,1,5,3,1,4,0,0,1,1,8,1,7,0,1
2010,"17031520500",4,2.780,1,1,2,0,2,2140,0,0,1,1,0,1,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0
2010,"17031520600",1,1.670,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
2010,"17031530100",16,2.600,0,1,15,3,12,1683.500,3,4,5,3,0,11,4,14,1,1,0,8,7,7,7,1,0,1,0,0,0,3,1,11,3,1,10,0,0,1,1,14,1,13,0,1
2010,"17031530200",62,6.720,7,1,54,14,40,1950,13,2,28,7,4,32,22,41,13,11,2,31,23,26,15,5,8,5,6,0,2,17,4,33,17,4,20,0,0,13,5,49,5,36,0,13
2010,"17031530300",21,7.660,2,0,19,4,15,2610,4,1,6,6,2,9,10,15,4,2,2,7,12,6,9,1,3,1,1,0,2,6,2,11,5,2,8,1,0,3,0,19,0,15,0,4
2010,"17031530400",10,6.710,2,0,8,2,6,3250.560,2,0,2,3,1,4,4,6,2,2,0,5,3,5,1,0,2,0,2,0,0,3,0,5,3,0,3,0,0,2,1,7,1,5,0,2
2010,"17031530501",70,7.340,5,1,64,18,46,1490,18,12,18,9,7,35,29,58,6,5,1,45,19,43,15,2,4,2,3,0,1,27,5,32,27,5,26,0,0,6,6,58,6,52,0,6
2010,"17031530502",8,10.810,0,0,8,2,6,1500,3,0,3,2,0,6,2,6,2,2,0,6,2,5,1,1,1,1,1,0,0,4,0,4,4,0,2,0,0,2,2,6,2,4,0,2
2010,"17031530503",15,4.840,2,0,13,7,6,2046,7,1,2,1,2,8,5,11,2,2,0,8,5,7,4,1,1,1,1,0,0,3,0,10,3,0,8,0,0,2,1,12,1,10,0,2
2010,"17031530600",38,5.710,1,1,36,3,33,1334,3,12,16,4,1,10,26,32,4,3,1,20,16,19,13,1,3,1,2,0,1,12,3,21,11,3,18,1,0,3,1,35,1,31,0,4
2010,"17031540101",131,13.030,2,0,129,14,115,548,14,94,11,10,0,2,127,120,9,4,5,43,86,42,78,1,8,1,3,0,5,34,54,41,34,54,32,0,0,9,9,120,9,111,0,9
2010,"17031540102",53,5.640,0,2,51,18,33,422,18,24,6,2,1,4,47,46,5,0,5,17,34,17,29,0,5,0,0,0,5,10,20,21,10,20,16,0,0,5,3,48,3,43,0,5
2010,"17031550100",26,2.820,1,0,25,1,24,1805,1,10,3,8,3,8,17,22,3,3,0,15,10,14,8,1,2,1,2,0,0,7,3,15,7,3,12,0,0,3,7,18,6,16,1,2
2010,"17031550200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"17031560100",5,3.500,0,0,5,3,2,3316.500,3,0,1,0,1,0,5,5,0,0,0,2,3,2,3,0,0,0,0,0,0,2,0,3,2,0,3,0,0,0,0,5,0,5,0,0
2010,"17031560200",6,1.710,1,0,5,3,2,2750,3,0,1,1,0,3,2,4,1,1,0,3,2,3,1,0,1,0,1,0,0,1,0,4,1,0,3,0,0,1,1,4,1,3,0,1
2010,"17031560300",4,8.330,1,0,3,2,1,11200,2,0,0,0,1,1,2,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0
2010,"17031560400",1,0,0,0,1,0,1,600,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2010,"17031560700",15,3.390,1,0,14,8,6,1630,8,1,4,1,0,7,7,14,0,0,0,9,5,9,5,0,0,0,0,0,0,4,3,7,4,3,7,0,0,0,1,13,1,13,0,0
2010,"17031560800",17,3.080,1,0,16,2,14,3150,2,1,4,6,3,9,7,13,3,1,2,9,7,9,4,0,3,0,1,0,2,6,1,9,6,1,6,0,0,3,1,15,1,12,0,3
2010,"17031560900",4,4.170,0,0,4,2,2,4300,2,0,0,1,1,1,3,4,0,0,0,2,2,2,2,0,0,0,0,0,0,1,0,3,1,0,3,0,0,0,0,4,0,4,0,0
2010,"17031561000",5,2.180,0,0,5,2,3,1875,2,1,1,1,0,1,4,5,0,0,0,4,1,4,1,0,0,0,0,0,0,3,0,2,3,0,2,0,0,0,1,4,1,4,0,0
2010,"17031561100",12,7.890,1,0,11,2,9,1200,2,3,4,0,2,2,9,8,3,2,1,9,2,7,1,2,1,2,0,0,1,2,0,9,2,0,6,0,0,3,1,10,1,7,0,3
2010,"17031570100",2,1.330,0,0,2,0,2,1093.770,0,1,1,0,0,1,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,1,1,0,0
2010,"17031570200",8,8.790,2,0,6,1,5,3000,1,0,2,2,1,0,6,4,2,2,0,3,3,1,3,2,0,2,0,0,0,0,1,5,0,1,3,0,0,2,0,6,0,4,0,2
2010,"17031570300",18,2.750,0,0,18,4,14,2000,3,3,6,6,0,9,9,16,2,2,0,10,8,10,6,0,2,0,2,0,0,6,3,9,6,3,7,0,0,2,1,17,1,15,0,2
2010,"17031570400",8,3.920,0,0,8,0,8,1725,0,2,3,3,0,2,6,8,0,0,0,5,3,5,3,0,0,0,0,0,0,4,1,3,4,1,3,0,0,0,1,7,1,7,0,0
2010,"17031570500",9,3.440,0,0,9,0,9,2450,0,0,5,4,0,4,5,8,1,1,0,3,6,3,5,0,1,0,1,0,0,2,1,6,2,1,5,0,0,1,0,9,0,8,0,1
2010,"17031580100",10,2,0,0,10,3,7,1000,3,2,4,1,0,4,6,9,1,0,1,5,5,5,4,0,1,0,0,0,1,2,2,6,2,2,5,0,0,1,1,9,1,8,0,1
2010,"17031580200",18,3.650,2,0,16,5,11,2445,4,1,5,5,1,9,7,14,2,2,0,13,3,11,3,2,0,2,0,0,0,7,1,8,7,1,6,0,0,2,3,13,3,11,0,2
2010,"17031580300",5,1.770,0,0,5,1,4,900,1,2,2,0,0,3,2,3,2,1,1,3,2,1,2,2,0,1,0,1,0,0,0,5,0,0,3,0,0,2,1,4,1,2,0,2
2010,"17031580400",14,2.120,1,1,12,4,8,1800,4,3,2,2,1,4,8,10,2,0,2,7,5,7,3,0,2,0,0,0,2,5,1,6,5,1,4,0,0,2,0,12,0,10,0,2
2010,"17031580501",25,3.020,0,0,25,13,12,1650,12,3,7,2,1,12,13,24,1,1,0,17,8,16,8,1,0,1,0,0,0,9,1,15,9,1,14,0,0,1,4,21,4,20,0,1
2010,"17031580502",11,1.740,2,0,9,1,8,2100,1,0,5,3,0,5,4,8,1,1,0,6,3,5,3,1,0,1,0,0,0,6,1,2,5,1,2,1,0,0,0,9,0,8,0,1
2010,"17031580600",21,2.270,0,0,21,4,17,1600,4,3,9,4,1,17,4,17,4,3,1,13,8,12,5,1,3,1,2,0,1,12,2,7,12,2,3,0,0,4,5,16,5,12,0,4
2010,"17031580700",42,4.900,5,0,37,16,21,2500,16,3,7,7,4,18,19,33,4,3,1,21,16,19,14,2,2,2,1,0,1,8,4,25,8,4,21,0,0,4,1,36,1,32,0,4
2010,"17031580800",8,2.590,0,0,8,4,4,1400,4,1,2,0,1,6,2,8,0,0,0,5,3,5,3,0,0,0,0,0,0,2,1,5,2,1,5,0,0,0,0,8,0,8,0,0
2010,"17031590500",5,1.670,0,0,5,2,3,1200,2,1,2,0,0,3,2,5,0,0,0,2,3,2,3,0,0,0,0,0,0,0,1,4,0,1,4,0,0,0,0,5,0,5,0,0
2010,"17031590600",20,3.540,1,0,19,2,17,1850,2,5,9,2,1,12,7,17,2,1,1,11,8,10,7,1,1,1,0,0,1,4,2,13,4,2,11,0,0,2,2,17,2,15,0,2
2010,"17031590700",10,1.920,0,0,10,2,8,1637,2,0,7,1,0,7,3,9,1,1,0,7,3,6,3,1,0,1,0,0,0,4,1,5,4,1,4,0,0,1,0,10,0,9,0,1
2010,"17031600400",8,0.930,0,1,7,1,6,1322.500,1,3,3,0,0,4,3,5,2,2,0,5,2,5,0,0,2,0,2,0,0,4,0,3,4,0,1,0,0,2,1,6,1,4,0,2
2010,"17031600600",15,3.190,4,0,11,4,7,1300,4,2,5,0,0,5,6,11,0,0,0,9,2,9,2,0,0,0,0,0,0,5,0,6,5,0,6,0,0,0,1,10,1,10,0,0
2010,"17031600700",19,3.610,1,1,17,4,13,1700,4,1,9,3,0,5,12,16,1,1,0,14,3,14,2,0,1,0,1,0,0,11,0,6,11,0,5,0,0,1,3,14,3,13,0,1
2010,"17031600900",15,1.460,1,0,14,3,11,1860,3,1,5,2,3,7,7,14,0,0,0,9,5,9,5,0,0,0,0,0,0,7,1,6,7,1,6,0,0,0,2,12,2,12,0,0
2010,"17031610300",46,4.220,3,0,43,14,29,1478.470,13,4,18,3,5,20,23,41,2,2,0,23,20,22,19,1,1,1,1,0,0,13,5,25,13,5,23,0,0,2,7,36,7,34,0,2
2010,"17031610400",10,2.490,0,0,10,4,6,1704,4,2,2,2,0,6,4,10,0,0,0,7,3,7,3,0,0,0,0,0,0,5,2,3,5,2,3,0,0,0,1,9,1,9,0,0
2010,"17031610800",3,2.750,0,0,3,0,3,2050,0,0,2,1,0,1,2,3,0,0,0,2,1,2,1,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,1,2,1,2,0,0
2010,"17031611000",7,3.370,1,0,6,3,3,2000,3,0,2,1,0,4,2,5,1,0,1,5,1,5,0,0,1,0,0,0,1,1,0,5,1,0,4,0,0,1,0,6,0,5,0,1
2010,"17031611100",25,4.680,3,1,21,5,16,1605,5,2,8,6,0,17,4,20,1,1,0,15,6,15,5,0,1,0,1,0,0,14,2,5,14,2,4,0,0,1,6,15,6,14,0,1
2010,"17031611200",19,4.340,1,0,18,9,9,1225,9,4,3,2,0,17,1,15,3,1,2,14,4,13,2,1,2,0,1,1,1,8,1,9,8,1,6,0,0,3,5,13,5,10,0,3
2010,"17031611300",20,3.230,2,0,18,5,13,1275,5,5,5,2,1,7,11,14,4,3,1,12,6,10,4,2,2,2,1,0,1,9,3,6,8,2,4,1,1,2,4,14,4,10,0,4
2010,"17031611400",45,6.280,4,0,41,12,29,1350,12,7,16,4,2,30,11,37,4,4,0,27,14,24,13,3,1,3,1,0,0,16,6,19,16,6,15,0,0,4,6,35,6,31,0,4
2010,"17031611500",17,2.680,2,0,15,5,10,1437.500,5,3,6,1,0,10,5,15,0,0,0,10,5,10,5,0,0,0,0,0,0,7,1,7,7,1,7,0,0,0,3,12,3,12,0,0
2010,"17031611600",16,7.340,5,1,10,7,3,2100,7,0,3,0,0,2,8,9,1,1,0,1,9,1,8,0,1,0,1,0,0,0,1,9,0,1,8,0,0,1,0,10,0,9,0,1
2010,"17031611700",21,6.330,3,0,18,4,14,1944,4,1,7,3,3,9,9,17,1,1,0,14,4,14,3,0,1,0,1,0,0,10,2,6,10,2,5,0,0,1,3,15,3,14,0,1
2010,"17031611800",17,3.280,2,0,15,6,9,1000,6,4,4,0,1,8,7,14,1,1,0,10,5,10,4,0,1,0,1,0,0,3,0,12,3,0,11,0,0,1,2,13,2,12,0,1
2010,"17031611900",38,8.600,2,1,35,8,27,1500,8,4,11,10,2,16,19,35,0,0,0,22,13,22,13,0,0,0,0,0,0,16,6,13,16,6,13,0,0,0,6,29,6,29,0,0
2010,"17031612000",31,13.360,10,0,21,8,13,2900,8,1,4,6,2,9,12,19,2,2,0,10,11,10,9,0,2,0,2,0,0,6,0,15,6,0,13,0,0,2,2,19,2,17,0,2
2010,"17031612100",13,3.710,2,0,11,6,5,2200,6,0,4,1,0,3,8,8,3,3,0,5,6,4,4,1,2,1,2,0,0,2,0,9,2,0,6,0,0,3,1,10,1,7,0,3
2010,"17031620100",6,3.550,0,0,6,1,5,3635.330,1,0,1,3,1,0,6,6,0,0,0,4,2,4,2,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,2,4,2,4,0,0
2010,"17031620200",11,2.940,0,0,11,1,10,1748.910,1,1,7,0,2,6,5,11,0,0,0,9,2,9,2,0,0,0,0,0,0,4,2,5,4,2,5,0,0,0,2,9,2,9,0,0
